code,date,Euro_super_95
FI,2020-05-18,1.287
FI,2020-05-11,1.244
FI,2020-05-04,1.279
FI,2020-04-27,1.287
FI,2020-04-20,1.291
FI,2020-04-06,1.332
FI,2020-03-30,1.352
FI,2020-03-23,1.462
FI,2020-03-16,1.424
FI,2020-03-09,1.477
FI,2020-03-02,1.502
FI,2020-02-24,1.599
FI,2020-02-17,1.597
FI,2020-02-10,1.517
FI,2020-02-03,1.535
FI,2020-01-27,1.53
FI,2020-01-20,1.558
FI,2020-01-13,1.567
FI,2020-01-06,1.564
FI,2019-12-16,1.532
FI,2019-12-09,1.535
FI,2019-12-02,1.518
FI,2019-11-25,1.537
FI,2019-11-18,1.524
FI,2019-11-11,1.529
FI,2019-11-04,1.512
FI,2019-10-28,1.521
FI,2019-10-21,1.538
FI,2019-10-14,1.527
FI,2019-10-07,1.537
FI,2019-09-30,1.545
FI,2019-09-23,1.566
FI,2019-09-16,1.524
FI,2019-09-09,1.518
FI,2019-09-02,1.509
FI,2019-08-26,1.542
FI,2019-08-19,1.552
FI,2019-08-12,1.544
FI,2019-08-05,1.568
FI,2019-07-29,1.575
FI,2019-07-22,1.548
FI,2019-07-15,1.561
FI,2019-07-08,1.556
FI,2019-07-01,1.537
FI,2019-06-24,1.553
FI,2019-06-17,1.569
FI,2019-06-10,1.583
FI,2019-06-03,1.596
FI,2019-05-27,1.603
FI,2019-05-20,1.604
FI,2019-05-13,1.585
FI,2019-05-06,1.59
FI,2019-04-29,1.592
FI,2019-04-15,1.56
FI,2019-04-08,1.537
FI,2019-04-01,1.5
FI,2019-03-25,1.476
FI,2019-03-18,1.475
FI,2019-03-11,1.474
FI,2019-03-04,1.473
FI,2019-02-25,1.427
FI,2019-02-18,1.447
FI,2019-02-11,1.433
FI,2019-02-04,1.412
FI,2019-01-28,1.438
FI,2019-01-21,1.439
FI,2019-01-14,1.44
FI,2019-01-07,1.419
FI,2018-12-17,1.484
FI,2018-12-10,1.472
FI,2018-12-03,1.484
FI,2018-11-26,1.518
FI,2018-11-19,1.537
FI,2018-11-12,1.56
FI,2018-11-05,1.551
FI,2018-10-29,1.591
FI,2018-10-22,1.567
FI,2018-10-15,1.562
FI,2018-10-08,1.603
FI,2018-10-01,1.567
FI,2018-09-24,1.557
FI,2018-09-17,1.59
FI,2018-09-10,1.583
FI,2018-09-03,1.55
FI,2018-08-27,1.581
FI,2018-08-20,1.584
FI,2018-08-13,1.554
FI,2018-08-06,1.583
FI,2018-07-30,1.552
FI,2018-07-23,1.552
FI,2018-07-16,1.533
FI,2018-07-09,1.566
FI,2018-07-02,1.541
FI,2018-06-25,1.563
FI,2018-06-18,1.568
FI,2018-06-11,1.583
FI,2018-06-04,1.585
FI,2018-05-28,1.579
FI,2018-05-21,1.564
FI,2018-05-14,1.512
FI,2018-05-07,1.526
FI,2018-04-30,1.499
FI,2018-04-23,1.477
FI,2018-04-16,1.472
FI,2018-04-09,1.467
FI,2018-03-26,1.446
FI,2018-03-19,1.437
FI,2018-03-12,1.442
FI,2018-03-05,1.458
FI,2018-02-26,1.449
FI,2018-02-19,1.452
FI,2018-02-12,1.456
FI,2018-02-05,1.458
FI,2018-01-29,1.461
FI,2018-01-22,1.445
FI,2018-01-15,1.475
FI,2018-01-08,1.465
FI,2018-01-01,1.456
FI,2017-12-18,1.435
FI,2017-12-11,1.461
FI,2017-12-04,1.437
FI,2017-11-27,1.466
FI,2017-11-20,1.476
FI,2017-11-13,1.475
FI,2017-11-06,1.463
FI,2017-10-30,1.451
FI,2017-10-23,1.421
FI,2017-10-16,1.453
FI,2017-10-09,1.449
FI,2017-10-02,1.445
FI,2017-09-25,1.466
FI,2017-09-18,1.471
FI,2017-09-11,1.441
FI,2017-09-04,1.444
FI,2017-08-28,1.423
FI,2017-08-21,1.447
FI,2017-08-14,1.432
FI,2017-08-07,1.456
FI,2017-07-31,1.451
FI,2017-07-24,1.452
FI,2017-07-17,1.451
FI,2017-07-10,1.448
FI,2017-07-03,1.443
FI,2017-06-26,1.447
FI,2017-06-19,1.466
FI,2017-06-12,1.466
FI,2017-06-05,1.461
FI,2017-05-29,1.47
FI,2017-05-22,1.483
