"Date","Price","Open","High","Low","Change %"
"Jun 23, 2013","3.3226","3.3115","3.3492","3.2657","0.30%"
"Jun 16, 2013","3.3126","3.1800","3.3358","3.1555","4.10%"
"Jun 09, 2013","3.1820","3.2066","3.2418","3.1517","-0.85%"
"Jun 02, 2013","3.2092","3.2816","3.3034","3.1944","-2.50%"
"May 26, 2013","3.2914","3.2428","3.3179","3.2271","1.43%"
"May 19, 2013","3.2451","3.2526","3.2772","3.2126","-0.23%"
"May 12, 2013","3.2525","3.1972","3.2647","3.1839","1.99%"
"May 05, 2013","3.1891","3.1575","3.2148","3.1326","0.90%"
"Apr 28, 2013","3.1605","3.1845","3.1938","3.1352","-1.06%"
"Apr 21, 2013","3.1943","3.1320","3.2017","3.1235","1.55%"
"Apr 14, 2013","3.1454","3.1155","3.1681","3.1103","0.59%"
"Apr 07, 2013","3.1271","3.2075","3.2140","3.1265","-2.26%"
"Mar 31, 2013","3.1995","3.2577","3.2869","3.1868","-1.85%"
"Mar 24, 2013","3.2599","3.2153","3.2881","3.1944","1.41%"
"Mar 17, 2013","3.2145","3.1901","3.2538","3.1813","1.39%"
"Mar 10, 2013","3.1705","3.1742","3.2140","3.1606","-0.22%"
"Mar 03, 2013","3.1776","3.1812","3.2066","3.1545","0.00%"
"Feb 24, 2013","3.1776","3.1671","3.2117","3.1193","0.74%"
"Feb 17, 2013","3.1543","3.1343","3.1776","3.0949","0.60%"
"Feb 10, 2013","3.1355","3.1019","3.1532","3.0833","0.95%"
"Feb 03, 2013","3.1061","3.0537","3.1263","3.0385","1.52%"
"Jan 27, 2013","3.0597","3.1043","3.1458","3.0491","-1.23%"
"Jan 20, 2013","3.0979","3.1229","3.1597","3.0979","-0.62%"
"Jan 13, 2013","3.1172","3.0837","3.1401","3.0673","1.23%"
"Jan 06, 2013","3.0793","3.1463","3.1717","3.0716","-2.21%"
"Dec 30, 2012","3.1489","3.0807","3.1783","3.0544","2.09%"
"Dec 23, 2012","3.0844","3.0899","3.1202","3.0622","-0.41%"
"Dec 16, 2012","3.0970","3.0920","3.1200","3.0604","-0.04%"
"Dec 09, 2012","3.0983","3.1894","3.2039","3.0943","-2.83%"
"Dec 02, 2012","3.1884","3.1561","3.2121","3.1439","0.89%"
"Nov 25, 2012","3.1603","3.1719","3.1982","3.1389","-0.23%"
"Nov 18, 2012","3.1675","3.2680","3.2690","3.1605","-3.00%"
"Nov 11, 2012","3.2656","3.2636","3.3119","3.2416","-0.19%"
"Nov 04, 2012","3.2719","3.2079","3.2913","3.1894","2.25%"
"Oct 28, 2012","3.1999","3.1867","3.2218","3.1707","0.08%"
"Oct 21, 2012","3.1972","3.1574","3.2285","3.1374","1.41%"
"Oct 14, 2012","3.1529","3.1519","3.1807","3.1110","-0.34%"
"Oct 07, 2012","3.1638","3.1300","3.1990","3.1250","1.13%"
"Sep 30, 2012","3.1284","3.1970","3.2178","3.1080","-2.27%"
"Sep 23, 2012","3.2010","3.1760","3.2357","3.1609","0.49%"
